id,Name,Specialty,insurance provider,Appointment,Location (zip code),Latest Availability,Experience Level,Education,Online reviews,Gender of Doctor,Languages Spoken,Insurance Provider Supported
1,Alex Smith,Surgery,Out-of-Network,Online,80206,ASAP,Low,High,High,Female,"English, German, Mandarin",Out-of-Network
2,Laura Johnson,Neurology,In-Network,In-Person,55455,Flexible,High,High,High,Female,English,Out-of-Network
3,David Miller,Dermatology,In-Network,Online,55455,ASAP,Low,High,Medium,Female,"English, Portuguese",In-Network
4,Laura Jones,Endocrinology,In-Network,Online,80206,Flexible,Medium,High,Low,Female,English,Out-of-Network
5,Jane Williams,Oncology,Out-of-Network,Online,21287,Flexible,Medium,High,Low,Male,"English, Hindi, Spanish",In-Network
6,Michael Hernandez,Gastroenterology,Out-of-Network,In-Person,55455,ASAP,Low,High,Low,Male,English,In-Network
7,Michael Brown,Ophthalmology,Out-of-Network,Online,63110,ASAP,High,High,High,Male,"English, Mandarin",In-Network
8,Jane Brown,Dermatology,Out-of-Network,Online,27710,Flexible,Low,High,Medium,Male,English,In-Network
9,Emily Brown,Anesthesiology,In-Network,In-Person,55455,Flexible,Medium,Medium,High,Female,"English, Korean",Out-of-Network
10,John Miller,Neurology,Out-of-Network,Online,55455,Flexible,Low,Medium,Medium,Female,English,In-Network
11,Emily Brown,Obstetrics & Gynecology (OB/GYN),Out-of-Network,Online,77030,ASAP,High,Medium,Medium,Female,English,In-Network
12,Emily Williams,Family Medicine,In-Network,In-Person,90095,ASAP,Low,High,High,Female,English,Out-of-Network
13,Laura Garcia,Neurology,Out-of-Network,In-Person,80206,ASAP,Low,High,Medium,Female,"English, Hindi, Japanese",In-Network
14,Jane Smith,Radiology,Out-of-Network,Online,33136,Flexible,High,High,Medium,Female,English,In-Network
15,Emily Jones,Otolaryngology (ENT),Out-of-Network,Online,77030,Flexible,High,Medium,Low,Female,English,In-Network
16,Sarah Davis,Gastroenterology,In-Network,Online,33136,ASAP,Medium,Low,Medium,Male,English,In-Network
17,David Brown,Psychiatry,In-Network,In-Person,77030,Flexible,Medium,Low,Medium,Female,"English, Arabic",In-Network
18,Alex Davis,Orthopedics,Out-of-Network,In-Person,90210,Flexible,Low,Low,Low,Male,"English, Hindi",Out-of-Network
19,Katie Johnson,Oncology,Out-of-Network,In-Person,77030,Flexible,Low,High,Medium,Female,"English, Arabic",Out-of-Network
20,Laura Brown,Psychiatry,Out-of-Network,Online,90095,ASAP,High,Low,Medium,Female,English,Out-of-Network
21,Alex Martinez,Anesthesiology,In-Network,Online,02114,Flexible,High,High,Medium,Female,"English, Spanish, Arabic",In-Network
22,Sarah Williams,Family Medicine,Out-of-Network,In-Person,48109,ASAP,Low,Medium,High,Male,English,In-Network
23,Michael Garcia,Psychiatry,Out-of-Network,In-Person,33136,Flexible,High,Low,Low,Male,English,In-Network
24,Emily Garcia,Family Medicine,In-Network,In-Person,90095,ASAP,Low,Medium,Low,Male,English,Out-of-Network
25,Katie Davis,Psychiatry,Out-of-Network,Online,92697,ASAP,Medium,High,High,Female,"English, Japanese",In-Network
26,Laura Williams,Orthopedics,In-Network,In-Person,48109,ASAP,Medium,Low,High,Female,English,Out-of-Network
27,Jane Johnson,Internal Medicine,In-Network,In-Person,33136,Flexible,Low,High,Low,Female,"English, Arabic, Mandarin",In-Network
28,Laura Johnson,Ophthalmology,Out-of-Network,Online,02114,ASAP,High,Low,Low,Female,English,In-Network
29,Chris Williams,Urology,In-Network,Online,80206,Flexible,Low,High,Low,Male,English,In-Network
30,Alex Miller,Family Medicine,Out-of-Network,Online,90210,Flexible,Low,Medium,Low,Female,"English, Hindi",In-Network
31,Emily Smith,Endocrinology,Out-of-Network,In-Person,02114,ASAP,High,Medium,Low,Male,English,Out-of-Network
32,Laura Smith,Pediatrics,Out-of-Network,Online,94043,Flexible,Low,Low,High,Female,English,In-Network
33,Jane Martinez,Internal Medicine,Out-of-Network,In-Person,63110,Flexible,Medium,High,Medium,Female,"English, Portuguese",Out-of-Network
34,Jane Hernandez,Oncology,Out-of-Network,Online,27710,ASAP,Low,Medium,Low,Male,English,In-Network
35,David Davis,Oncology,Out-of-Network,Online,94110,Flexible,Low,Medium,Low,Female,"English, Portuguese",In-Network
36,Emily Martinez,Urology,In-Network,Online,27710,ASAP,High,Medium,Low,Female,English,Out-of-Network
37,Michael Smith,Pediatrics,In-Network,Online,10021,Flexible,Medium,Medium,Medium,Female,English,Out-of-Network
38,Jane Jones,Orthopedics,Out-of-Network,Online,94110,ASAP,High,Low,Low,Male,"English, Korean, Hindi",In-Network
39,Jane Smith,Anesthesiology,Out-of-Network,In-Person,55455,ASAP,Medium,High,Medium,Male,English,In-Network
40,Laura Davis,Pulmonology,In-Network,Online,98104,Flexible,Medium,Medium,High,Female,English,In-Network
41,Emily Smith,Family Medicine,In-Network,In-Person,48109,Flexible,High,Low,Medium,Male,English,Out-of-Network
42,Chris Johnson,Oncology,In-Network,In-Person,44106,ASAP,Medium,Medium,Low,Male,English,In-Network
43,Chris Miller,Pediatrics,Out-of-Network,Online,21287,ASAP,High,Low,Medium,Male,"English, Mandarin",Out-of-Network
44,Katie Smith,Ophthalmology,Out-of-Network,Online,94305,Flexible,Low,High,Low,Female,English,In-Network
45,Sarah Jones,Neurology,Out-of-Network,Online,94110,ASAP,High,Low,Low,Male,"English, Hindi",In-Network
46,Laura Hernandez,Family Medicine,In-Network,In-Person,44106,Flexible,Low,High,Low,Male,"English, Arabic, Hindi",Out-of-Network
47,Katie Miller,Ophthalmology,In-Network,Online,02114,Flexible,Low,Medium,High,Male,"English, German",Out-of-Network
48,Katie Johnson,Obstetrics & Gynecology (OB/GYN),Out-of-Network,Online,90095,Flexible,High,Medium,High,Female,English,Out-of-Network
49,Jane Martinez,Ophthalmology,Out-of-Network,Online,80206,Flexible,Low,Medium,Medium,Male,"English, German",Out-of-Network
50,Sarah Miller,Neurology,In-Network,Online,60611,Flexible,Low,High,High,Female,"English, Arabic, Korean",In-Network
51,Emily Jones,Obstetrics & Gynecology (OB/GYN),In-Network,Online,80206,ASAP,Medium,Medium,High,Male,English,In-Network
52,John Hernandez,Surgery,Out-of-Network,Online,90095,Flexible,High,Medium,Medium,Male,English,Out-of-Network
53,Chris Brown,Urology,Out-of-Network,In-Person,33136,ASAP,High,Medium,Medium,Male,"English, Russian",In-Network
54,John Williams,Cardiology,Out-of-Network,Online,80206,ASAP,Low,High,Medium,Male,English,In-Network
55,Jane Smith,Surgery,In-Network,In-Person,48109,ASAP,Medium,High,Medium,Female,English,In-Network
56,Michael Brown,Obstetrics & Gynecology (OB/GYN),Out-of-Network,Online,63110,Flexible,Low,High,High,Female,English,Out-of-Network
57,Katie Martinez,Radiology,In-Network,Online,94305,Flexible,Medium,Low,High,Male,English,Out-of-Network
58,Emily Hernandez,Ophthalmology,In-Network,Online,77030,Flexible,Low,Low,Medium,Male,English,In-Network
59,Michael Garcia,Neurology,In-Network,Online,60611,Flexible,High,High,High,Male,English,In-Network
60,Sarah Smith,Endocrinology,Out-of-Network,In-Person,77030,Flexible,Medium,Medium,Low,Female,English,Out-of-Network
61,Emily Davis,Oncology,Out-of-Network,Online,02114,ASAP,Medium,High,Medium,Male,English,In-Network
